"","date","btc_price"
"1",2014-03-31,457.023554568
"2",2014-04-01,479.312290686
"3",2014-04-02,439.626726544
"4",2014-04-03,449.53955801
"5",2014-04-04,451.900550232
"6",2014-04-05,463.625562984
"7",2014-04-06,457.883594364
"8",2014-04-07,448.95518037
"9",2014-04-08,453.33637542
"10",2014-04-09,443.061913538
"11",2014-04-10,363.851086082
"12",2014-04-11,423.4131448
"13",2014-04-12,423.368963092
"14",2014-04-13,416.864604154
"15",2014-04-14,459.098005824
"16",2014-04-15,522.29491627
"17",2014-04-16,527.687720992
"18",2014-04-17,498.366678046
"19",2014-04-18,482.2656561
"20",2014-04-19,504.842390182
"21",2014-04-20,500.39539343
"22",2014-04-21,497.251879218
"23",2014-04-22,489.992809938
"24",2014-04-23,492
"25",2014-04-24,502.220952572
"26",2014-04-25,466.886851584
"27",2014-04-26,461.045326
"28",2014-04-27,434.374768044
"29",2014-04-28,442.82037402
"30",2014-04-29,448
"31",2014-04-30,448.89941997
"32",2014-05-01,460.701262044
"33",2014-05-02,454.355623846
"34",2014-05-03,439.872076806
"35",2014-05-04,437.933060358
"36",2014-05-05,433
"37",2014-05-06,428.01
"38",2014-05-07,440.920286814
"39",2014-05-08,439.081353328
"40",2014-05-09,451.468934602
"41",2014-05-10,456.543988148
"42",2014-05-11,439.14571258
"43",2014-05-12,442.46349
"44",2014-05-13,439.107218986
"45",2014-05-14,445.754518832
"46",2014-05-15,446.33672479
"47",2014-05-16,447.269647738
"48",2014-05-17,450.0057898
"49",2014-05-18,446.898
"50",2014-05-19,448.179080492
"51",2014-05-20,489.193911936
"52",2014-05-21,493.694430672
"53",2014-05-22,529.49782271
"54",2014-05-23,523.491528154
"55",2014-05-24,528.214489126
"56",2014-05-25,573.07334608
"57",2014-05-26,583.558250216
"58",2014-05-27,573.185524618
"59",2014-05-28,580.266611644
"60",2014-05-29,570.35
"61",2014-05-30,621.18
"62",2014-05-31,627.374353916
"63",2014-06-01,629.85533114
"64",2014-06-02,662.085588884
"65",2014-06-03,669.938043516
"66",2014-06-04,642.357380702
"67",2014-06-05,661.48
"68",2014-06-06,649.093827824
"69",2014-06-07,657.122319458
"70",2014-06-08,657.950451128
"71",2014-06-09,648.317550724
"72",2014-06-10,648.549935972
"73",2014-06-11,622.502690634
"74",2014-06-12,571.006454714
"75",2014-06-13,591.983880914
"76",2014-06-14,568.195610824
"77",2014-06-15,590.40657709
"78",2014-06-16,586.980456142
"79",2014-06-17,606.443230048
"80",2014-06-18,607
"81",2014-06-19,593.11789317
"82",2014-06-20,588.950932812
"83",2014-06-21,589.036790108
"84",2014-06-22,600.040424932
"85",2014-06-23,588.193980926
"86",2014-06-24,573.328135576
"87",2014-06-25,560.494789058
"88",2014-06-26,579.622750878
"89",2014-06-27,599.929629306
"90",2014-06-28,590.595520766
"91",2014-06-29,599.89
"92",2014-06-30,638.68650652
"93",2014-07-01,639.157792748
"94",2014-07-02,650.071232986
"95",2014-07-03,646.667063552
"96",2014-07-04,627.258726514
"97",2014-07-05,630.747663504
"98",2014-07-06,631.42383047
"99",2014-07-07,622.774120722
"100",2014-07-08,624.298284178
"101",2014-07-09,621.873408232
"102",2014-07-10,616.775924134
"103",2014-07-11,634.129679252
"104",2014-07-12,636.46644725
"105",2014-07-13,630.544990964
"106",2014-07-14,619.701223542
"107",2014-07-15,623.559283514
"108",2014-07-16,615.910673214
"109",2014-07-17,623.764358544
"110",2014-07-18,631.42881345
"111",2014-07-19,629.726
"112",2014-07-20,625.846605424
"113",2014-07-21,621.830136434
"114",2014-07-22,619.567647252
"115",2014-07-23,619.926984708
"116",2014-07-24,603.820880232
"117",2014-07-25,602.881241122
"118",2014-07-26,595.95700884
"119",2014-07-27,591.95976867
"120",2014-07-28,589.377920638
"121",2014-07-29,585.10454612
"122",2014-07-30,563.347057728
"123",2014-07-31,582.037732788
"124",2014-08-01,598.2
"125",2014-08-02,589.306
"126",2014-08-03,586.489508506
"127",2014-08-04,588.479331236
"128",2014-08-05,580.340990122
"129",2014-08-06,582.416533308
"130",2014-08-07,584.81249954
"131",2014-08-08,588.78812401
"132",2014-08-09,589.242055856
"133",2014-08-10,590.785817632
"134",2014-08-11,573.95651115
"135",2014-08-12,567.831212848
"136",2014-08-13,549.790349374
"137",2014-08-14,507.387017804
"138",2014-08-15,501.237741262
"139",2014-08-16,522.748127092
"140",2014-08-17,498.225640878
"141",2014-08-18,473.215708716
"142",2014-08-19,491.00693467
"143",2014-08-20,518.02405211
"144",2014-08-21,520.3913133
"145",2014-08-22,514.794876152
"146",2014-08-23,496.190259712
"147",2014-08-24,507.644099696
"148",2014-08-25,503.1851232
"149",2014-08-26,513.621734654
"150",2014-08-27,511.792230472
"151",2014-08-28,506.538198958
"152",2014-08-29,509.045533048
"153",2014-08-30,501.001790512
"154",2014-08-31,478.878867428
"155",2014-09-01,475.346609474
"156",2014-09-02,473.803368534
"157",2014-09-03,474.544192728
"158",2014-09-04,488.60745904
"159",2014-09-05,477.642145722
"160",2014-09-06,479.74170882
"161",2014-09-07,476.11974577
"162",2014-09-08,468.030480732
"163",2014-09-09,473.375732486
"164",2014-09-10,477.607374984
"165",2014-09-11,477.413882968
"166",2014-09-12,474.19739259
"167",2014-09-13,477.127472342
"168",2014-09-14,474.606315074
"169",2014-09-15,469.57152418
"170",2014-09-16,463.201723396
"171",2014-09-17,457.334015
"172",2014-09-18,424.440002
"173",2014-09-19,394.79599
"174",2014-09-20,408.903992
"175",2014-09-21,398.821014
"176",2014-09-22,402.152008
"177",2014-09-23,435.790985
"178",2014-09-24,423.204987
"179",2014-09-25,411.574005
"180",2014-09-26,404.424988
"181",2014-09-27,399.519989
"182",2014-09-28,377.181
"183",2014-09-29,375.46701
"184",2014-09-30,386.944
"185",2014-10-01,383.61499
"186",2014-10-02,375.071991
"187",2014-10-03,359.511993
"188",2014-10-04,328.865997
"189",2014-10-05,320.51001
"190",2014-10-06,330.07901
"191",2014-10-07,336.187012
"192",2014-10-08,352.940002
"193",2014-10-09,365.026001
"194",2014-10-10,361.562012
"195",2014-10-11,362.299011
"196",2014-10-12,378.549011
"197",2014-10-13,390.414001
"198",2014-10-14,400.869995
"199",2014-10-15,394.77301
"200",2014-10-16,382.556
"201",2014-10-17,383.757996
"202",2014-10-18,391.441986
"203",2014-10-19,389.54599
"204",2014-10-20,382.845001
"205",2014-10-21,386.475006
"206",2014-10-22,383.15799
"207",2014-10-23,358.416992
"208",2014-10-24,358.345001
"209",2014-10-25,347.270996
"210",2014-10-26,354.70401
"211",2014-10-27,352.989014
"212",2014-10-28,357.618011
"213",2014-10-29,335.591003
"214",2014-10-30,345.304993
"215",2014-10-31,338.321014
"216",2014-11-01,325.748993
"217",2014-11-02,325.891998
"218",2014-11-03,327.553986
"219",2014-11-04,330.492004
"220",2014-11-05,339.485992
"221",2014-11-06,349.290009
"222",2014-11-07,342.415009
"223",2014-11-08,345.488007
"224",2014-11-09,363.264008
"225",2014-11-10,366.924011
"226",2014-11-11,367.695007
"227",2014-11-12,423.561005
"228",2014-11-13,420.734985
"229",2014-11-14,397.817993
"230",2014-11-15,376.132996
"231",2014-11-16,387.881989
"232",2014-11-17,387.40799
"233",2014-11-18,375.197998
"234",2014-11-19,380.554993
"235",2014-11-20,357.839996
"236",2014-11-21,350.847992
"237",2014-11-22,352.920013
"238",2014-11-23,367.572998
"239",2014-11-24,376.901001
"240",2014-11-25,375.347992
"241",2014-11-26,368.369995
"242",2014-11-27,369.670013
"243",2014-11-28,376.446991
"244",2014-11-29,375.490997
"245",2014-11-30,378.046997
"246",2014-12-01,379.244995
"247",2014-12-02,381.315002
"248",2014-12-03,375.01001
"249",2014-12-04,369.604004
"250",2014-12-05,376.854004
"251",2014-12-06,374.785004
"252",2014-12-07,375.095001
"253",2014-12-08,361.908997
"254",2014-12-09,352.218994
"255",2014-12-10,346.36499
"256",2014-12-11,350.506012
"257",2014-12-12,352.541992
"258",2014-12-13,347.376007
"259",2014-12-14,351.631989
"260",2014-12-15,345.345001
"261",2014-12-16,327.062012
"262",2014-12-17,319.776001
"263",2014-12-18,311.395996
"264",2014-12-19,317.842987
"265",2014-12-20,329.955994
"266",2014-12-21,320.842987
"267",2014-12-22,331.885986
"268",2014-12-23,334.571991
"269",2014-12-24,322.533997
"270",2014-12-25,319.007996
"271",2014-12-26,327.924011
"272",2014-12-27,315.863007
"273",2014-12-28,317.239014
"274",2014-12-29,312.670013
"275",2014-12-30,310.737
"276",2014-12-31,320.192993
"277",2015-01-01,314.248993
"278",2015-01-02,315.032013
"279",2015-01-03,281.082001
"280",2015-01-04,264.195007
"281",2015-01-05,274.473999
"282",2015-01-06,286.188995
"283",2015-01-07,294.337006
"284",2015-01-08,283.348999
"285",2015-01-09,290.40799
"286",2015-01-10,274.79599
"287",2015-01-11,265.660004
"288",2015-01-12,267.79599
"289",2015-01-13,225.860992
"290",2015-01-14,178.102997
"291",2015-01-15,209.843994
"292",2015-01-16,208.097
"293",2015-01-17,199.259995
"294",2015-01-18,210.339005
"295",2015-01-19,214.860992
"296",2015-01-20,211.315002
"297",2015-01-21,226.897003
"298",2015-01-22,233.406006
"299",2015-01-23,232.878998
"300",2015-01-24,247.847
"301",2015-01-25,253.718002
"302",2015-01-26,273.472992
"303",2015-01-27,263.475006
"304",2015-01-28,233.914993
"305",2015-01-29,233.513
"306",2015-01-30,226.425003
"307",2015-01-31,217.464005
"308",2015-02-01,226.972
"309",2015-02-02,238.229004
"310",2015-02-03,227.268005
"311",2015-02-04,226.852997
"312",2015-02-05,217.110992
"313",2015-02-06,222.266006
"314",2015-02-07,227.753998
"315",2015-02-08,223.412003
"316",2015-02-09,220.110001
"317",2015-02-10,219.839005
"318",2015-02-11,219.184998
"319",2015-02-12,221.764008
"320",2015-02-13,235.427002
"321",2015-02-14,257.321014
"322",2015-02-15,234.824997
"323",2015-02-16,233.843002
"324",2015-02-17,243.610001
"325",2015-02-18,236.326004
"326",2015-02-19,240.283005
"327",2015-02-20,243.779007
"328",2015-02-21,244.533997
"329",2015-02-22,235.977005
"330",2015-02-23,238.891998
"331",2015-02-24,238.735001
"332",2015-02-25,237.470001
"333",2015-02-26,236.425995
"334",2015-02-27,253.828003
"335",2015-02-28,254.263
"336",2015-03-01,260.201996
"337",2015-03-02,275.670013
"338",2015-03-03,281.701996
"339",2015-03-04,273.09201
"340",2015-03-05,276.178009
"341",2015-03-06,272.722992
"342",2015-03-07,276.260986
"343",2015-03-08,274.354004
"344",2015-03-09,289.606995
"345",2015-03-10,291.76001
"346",2015-03-11,296.378998
"347",2015-03-12,294.354004
"348",2015-03-13,285.337006
"349",2015-03-14,281.88501
"350",2015-03-15,286.393005
"351",2015-03-16,290.592987
"352",2015-03-17,285.505005
"353",2015-03-18,256.299011
"354",2015-03-19,260.928009
"355",2015-03-20,261.748993
"356",2015-03-21,260.024994
"357",2015-03-22,267.959991
"358",2015-03-23,266.73999
"359",2015-03-24,245.595001
"360",2015-03-25,246.197006
"361",2015-03-26,248.531998
"362",2015-03-27,247.029007
"363",2015-03-28,252.798004
"364",2015-03-29,242.712997
"365",2015-03-30,247.526001
"366",2015-03-31,244.223999
"367",2015-04-01,247.272003
"368",2015-04-02,253.005005
"369",2015-04-03,254.322006
"370",2015-04-04,253.697006
"371",2015-04-05,260.597992
"372",2015-04-06,255.492004
"373",2015-04-07,253.179993
"374",2015-04-08,245.022003
"375",2015-04-09,243.675995
"376",2015-04-10,236.072006
"377",2015-04-11,236.552002
"378",2015-04-12,236.153
"379",2015-04-13,224.587006
"380",2015-04-14,219.158997
